name	sizeMB	mtime	ctime	atime
cces/2006_2012_cumulative.dta	153.7 Mb	2016-01-13T18:22:18Z	2017-06-01T18:34:50Z	2017-06-01T18:39:06Z
cces/2006_cc.dta	137.3 Mb	2016-05-16T19:59:37Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2006_mit.dta	4.8 Mb	2006-11-29T13:46:20Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2007_cc.dta	17.2 Mb	2016-09-22T16:46:28Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2007_cc.sav	30.7 Mb	2016-05-16T19:31:38Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2007_mit.dta	10.8 Mb	2008-02-29T14:22:14Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2008_cc.dta	191 Mb	2015-05-04T20:17:27Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2008_cc.rdata	7.5 Mb	2016-06-11T22:25:56Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2008_hum.dta	12.9 Mb	2009-02-09T14:17:33Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2009_cc.dta	23.4 Mb	2015-11-22T00:06:26Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2009_hum.dta	13.9 Mb	2009-12-15T13:49:49Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2010_2012_2014_cc.dta	206.9 Mb	2017-01-26T02:46:20Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2010_cc.dta	451.6 Mb	2015-12-01T22:03:06Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2010_hum.DTA	16.5 Mb	2011-09-19T19:24:37Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2011_cc.dta	47 Mb	2016-06-02T16:04:04Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2012_cc.dta	407.4 Mb	2015-11-21T23:55:51Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2012_panel_h.dta	134.6 Mb	2013-03-28T22:48:53Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2013_cc.dta	28.5 Mb	2014-03-26T16:35:10Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2013_hua.DTA	1.7 Mb	2014-02-03T22:09:47Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2014_cc.dta	412.7 Mb	2015-11-09T13:24:21Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2014_hua.dta	7.4 Mb	2015-07-16T15:32:32Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2015_cc.dta	34 Mb	2016-01-15T19:47:14Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2015_hur.dta	1.2 Mb	2016-01-15T19:48:02Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2016_cc.dta	540.6 Mb	2017-03-01T14:57:50Z	2017-06-01T18:35:51Z	2017-06-01T18:35:51Z
cces/2016_huy.dta	6.5 Mb	2017-02-20T16:06:00Z	2017-06-01T18:35:51Z	2017-06-01T18:40:39Z
cces/2016_huz.dta	6.9 Mb	2017-02-20T19:22:01Z	2017-06-01T18:35:51Z	2017-06-01T18:40:40Z
person.Rds	8.5 Mb	2017-04-20T01:40:34Z	2017-05-25T13:45:32Z	2017-06-01T18:39:14Z
varnamekey_cc12.csv	0 Mb	2016-07-17T20:27:32Z	2017-05-19T01:05:17Z	2017-06-01T18:39:14Z
